A;Asus;B;C;Csus;D;Dsus;E;F;Fsus;G;Gsus;A;Asus;B;C;Csus;D;Dsus;E;F;Fsus;G;Gsus;A;Asus;B;C;Csus;D;Dsus;E;F;Fsus;G;Gsus;A;Asus;B;C;Csus;D;Dsus;E;F;Fsus;G;Gsus;baseNote;variation1;variation2;
0;0.0;1018946.2039879791;101960.61580555906;103430.41262914818;103533.44345658895;10572.726201445657;114405.8554638708;114903.94281361431;11584.096591018291;116111.55128092297;123091.23463054256;1273532;135333.55271867834;147435.3245477434;149181.10417638964;151039.45976565735;152977.3969761422;154037.06311452627;162308.88152924454;175766.00796028852;177197.1129171559;199186.61711718983;210660.96191701017;240774.75214650657;255945.69091593978;265086.45208516327;271870.149219398;27878.25417467379;299869.00710765854;300124.3914621502;32182.490576404216;406914.0672092821;47953.576276745705;499258.66040332674;5147054.362273321;613441.4836309903;672047.2619582633;7079523.08991224;74167.87736166772;75293.9047736579;83967.0554280686;86859.587467997;88704.06113788603;89009.91667235915;91368.34344382536;91434.73355145067;95023.22383562496;[A];[MAJ];[];
0;0.0;119567.31219960033;1273532;128804.17570709185;138286.75619089213;151298.81267192907;159133.35619526063;167404.90471102548;18814.126533315444;214561.57902668996;221676.22249837418;262783.37531573203;26495.154136863654;285740.9854720294;295388.13068332884;31683.43584231703;318674.6449792344;318768.1036495938;320257.9249713789;327383.6126375163;327730.6802088534;330948.53400345665;35870.49711681729;38212.2844007255;42819.09237065845;42934.3172289433;429513.684073751;444186.6999949861;468021.7369670808;47798.817737282145;482655.6083857119;5115617.405248797;52782.75570426378;538053.8599968683;5733119.672882188;57559.14814331242;57770.83897260767;596139.739058788;64673.4536389903;66604.3861619401;69154.04481353394;78916.84641386112;81162.32909441376;86093.07579015067;86972.0994363631;91421.21657459855;97471.1839005459;[A];[MAJ];[];
0;0.0;115697.98737535169;118270.06046672967;120911.90534824588;127193.3817304815;1273532;130637.896689296;154600.9461105529;162207.06818277348;171627.17437688186;176250.91400158152;180327.88796976357;183025.43194899452;189651.6469275828;257832.23179517884;26228.600167143286;293459.27331324;2956651.130174777;297681.46204831114;311511.99563510326;344031.2682741314;3611130.560062797;362921.834748116;367789.9791794721;37814.31620512397;40505.19700492094;423555.4437825112;425408.2907521605;441550.4114304292;467175.8309625913;49488.84794034582;54139.95848211655;584133.0605360703;592721.6053176512;60469.60465914491;69592.36720714552;71210.54912115487;74765.39193374173;76227.07147283216;76455.83801083232;835777.529221705;85333.24118223775;91712.63354340396;93179.91136096622;931834.5103841046;93557.64393958646;95375.94591606139;[A];[MAJ];[];
0;0.0;1047198.7621411073;1053388.6229721261;1157566.7491672728;1272673.0706031097;1273532;1339871.2511720737;1372976.59829356;147514.94481482977;1497023.4163283017;1535523.4755686661;1564505.745406558;1827711.338953223;235785.0543815257;238980.81746710683;2427971.128550919;2552011.9564719056;284703.32216843637;2848269.005199684;2919297.1093111993;295107.0879860726;299768.46314315114;310039.44922103506;310188.32602721365;321596.0538055995;3649991.075275627;370833.29249191104;393429.5593399235;405526.5173098189;414071.4172177295;4171050.5262042;427100.4210043733;4448796.123910188;447103.1471065316;464385.2918216188;4746595.59851397;609440.6780068378;6538788.836679627;690688.7233944997;696310.8549306041;727730.8985234654;738887.3496239685;8159512.991827047;8478649.498464782;881781.4749561507;9371175.716189185;9955191.399595287;[A];[MAJ];[];
0;0.0;110490.63188646511;113567.13438527856;114792.68727515532;1182998.7611720916;124354.7086994283;1273532;130838.29148963925;13418288.244268756;159805.4063681893;161450.43657918792;2011184.679052633;212564.72795591867;226922.0922750656;253967.39384651143;307964.86300045275;316377.3742097615;319296.9325464549;35219.76686623248;36438.76670654384;382841.2667639062;389872.86016673857;39505.509205248934;402626.6955601531;420944.3263649849;448812.0745436295;48147.62592314885;508898.8699537535;51583.82984027341;53468.82698621825;58550.725537488885;587548.0940407028;617614.7564362447;647553.2640622765;6551852.371404124;6769569.974748551;69241.21213408753;712832.1608943013;726327.5382030577;840246.7238345547;861573.990860793;87060.37707605111;875306.0341588703;903115.1936382198;956109.292307579;96946.27207240238;996386.2359911231;[A];[MAJ];[];
0;0.0;101195.07404063818;108897.45741028768;112688.34884754987;121198.33185918813;1227523.7040119036;123271.8695752886;124506.04147359352;1273532;1400119.7189176963;14098.870799339822;150596.5008855218;150711.1556449216;15307660.656055393;170928.71709927218;172497.72920447477;190397.7833011625;192953.22460090442;198716.85285727752;200979.7331853871;23552.142653536925;237192.18074414044;25890.988049965137;263659.4040734372;266765.72075756564;337151.52080052265;342001.23612089915;368634.6012313528;372166.33504568523;3866711.635686154;395832.2555933547;422711.6580514419;45805.9683112572;472329.1976431385;479479.13112327305;485358.54847186344;490003.8452418129;528803.4445460148;564497.2669554845;57022.49736006801;6127072.844712002;644505.205510962;768120.0922060965;77933.33934435813;81332.18140929088;826181.8459454286;94128.36592693628;[A];[MAJ];[];
0;0.0;100237.05667234169;107730.84687751789;107800.45573888485;115743.64275207257;118770.0027215422;1273532;129041.90217769853;132479.01962407815;13582216.373153921;142620.46025151637;146232.9238793008;15582.444930397547;165127.1273671607;1703861.4763807093;173828.3664508278;184916.52298914894;218591.90085446843;221320.71679470656;229938.50425637915;245672.2083928286;24673.133160169138;249426.92307184968;250446.29302402638;252739.53628270328;304056.2712914518;304959.1765413388;325418.68913514033;382556.9956787832;39071.418295062045;406279.269981861;438867.3044623381;446312.9676555816;471488.24229905877;480786.13464989304;488456.8830364818;550311.6207241173;57306.06834030497;60315.22487034742;63006.05861369072;7797462.345199347;83525.6002997382;852311.1210613637;933832.2129062663;95490.57502473377;985349.8500216533;98905.98834609114;[A];[MAJ];[];
0;0.0;1003261.3126066165;104266.48202050058;10804552.821792882;11466.511922867667;122412.81085204778;123932.35112931862;1273532;131048.7623914264;132702.6808120285;139025.39175037981;139939.58711673436;142983.03300287013;157710.75712607757;159407.29691764584;188444.94730134503;189969.96329786786;221639.42011582552;298082.7025737006;34410.71821191357;38361.442315116336;388125.522037527;400554.61908928334;41808.36759468439;448733.7052589553;498194.4556315034;53080.92229426579;556493.1293259634;56517.67219924791;57459.46568390838;57930.87685327838;58856.790755183036;607512.7983563583;625161.2651047136;62547.332365141876;63955.35580127881;68227.58714885911;6888085.118579405;689393.7424354667;74230.95474138076;74364.87627701848;77039.32956233053;77424.11072118007;779731.0147915004;835575.1875595803;88517.18275488923;98038.0007352239;[A];[MAJ];[];
0;0.0;112581.40256308702;115474.72350453062;118544.0864235434;122096.37588917573;1273532;133459.9564165185;144670.5189814132;154155.09748700185;16735.95096092224;178684.84007109195;187098.33682439438;213642.29294170826;225458.8224271181;241776.19665933755;326700.2125403709;341465.90844339563;36474.40471157816;384969.84351193503;39090.19289215978;391843.3017512747;43285.688805684644;4408782.411013894;44406.95807435136;54032.77433232615;567408.1710720563;574862.3255684357;60444.01394538298;60741.55287106611;678217.1098050182;69846.7232157058;70881.05203558787;7246974.75901944;734900.4999257252;73767.96693176299;764515.5414184891;76944.85504023184;77752.74331886267;82534.45789095765;83037.55454283651;882247.9787183377;89273.93089740787;94005.88256086395;96954.68943237989;977575.2624444145;97776.06369321205;98742.8783162939;[A];[MAJ];[];
0;0.0;1195526.1886256821;1273532;1486626.7412772279;15892705.105707668;1641618.9503245472;1749812.0066855517;1840759.9874414585;220400.91191506956;2326449.9077836713;2641022.215493011;3013912.2634021984;3016539.495992452;3023756.8333197;304637.82147723605;3568270.3117856383;357298.14570373256;3603943.579785944;3668372.9273988334;368152.4403753967;375325.1232576911;378205.02046410943;380672.3515409784;4042431.640388893;409897.6223007434;418276.6402514811;428005.2561426177;4316188.558395682;433248.37802573113;4343246.578766636;442413.45151727827;462224.1878560832;469298.7441190351;4876277.829462225;4971295.121578596;497996.5632483477;520165.2041193122;526821.2054581953;528181.9013676759;537639.917111329;562395.0598524907;5939621.106211036;675467.6180666434;7236104.2372082835;846056.378741806;860032.6776392777;916322.9103962668;[A];[MAJ];[];
