C;C^;D;D^;E;F;F^;G;G^;A;A^;B;
0.75969803;0.47135305;0.65285814;0.3492588;0.54372185;0.35542005;0.46375594;0.88065916;0.649101;0.34298614;0.39083025;1.0;
0.78246886;0.46828863;0.67648005;0.34936944;0.6082787;0.37717667;0.49699646;0.94646496;0.6662417;0.3306027;0.3898177;1.0;
0.7537992;0.45597902;0.62917393;0.33121446;0.62760097;0.3505677;0.40070894;0.8646794;0.5747097;0.28832254;0.36327174;1.0;
0.7750555;0.47269544;0.6489227;0.36158636;0.7147588;0.3734316;0.39157572;0.9206369;0.5779611;0.29195666;0.37214166;1.0;
0.8325953;0.49155265;0.6736059;0.41025633;0.8335338;0.39639762;0.399099;0.9816834;0.5710358;0.29052392;0.37837917;1.0;
0.73846865;0.40592885;0.58891493;0.4026802;0.7925888;0.36388445;0.3532389;0.81745154;0.45830217;0.23485231;0.3407596;1.0;
0.73290366;0.40509513;0.57723546;0.38954267;0.8247289;0.376177;0.32262456;0.773912;0.4447571;0.20905624;0.3057419;1.0;
0.7775092;0.4135063;0.57737494;0.42382;0.9159052;0.3865014;0.30368075;0.77057153;0.45051593;0.2089213;0.30453777;1.0;
0.79813427;0.5206787;0.6578087;0.49042714;0.9757261;0.45248657;0.37951103;0.7955013;0.5367573;0.3293234;0.3867352;1.0;
0.76972455;0.6687414;0.7876445;0.69355804;1.0;0.6539437;0.52353364;0.85481286;0.81847554;0.70750415;0.60506964;0.9960191;
0.9234811;0.66756415;0.7015813;0.7485803;0.9327788;0.75198764;0.62006223;1.0;0.9368942;0.7312399;0.68540466;0.9553913;
1.0;0.5587487;0.6298965;0.6707698;0.8779779;0.7642338;0.69158345;0.8880473;0.8076172;0.46414587;0.5019839;0.96609145;
0.79688084;0.45320582;0.5924263;0.58767617;0.8388674;0.71307606;0.66535103;0.84460104;0.78492516;0.36055952;0.4518635;1.0;
0.6698207;0.3574819;0.48536408;0.4360237;0.7094827;0.60107833;0.54074395;0.79109484;0.71788484;0.30992883;0.42718995;1.0;
0.70116436;0.4075373;0.586425;0.5386115;0.8698113;0.6306446;0.5633506;0.8609836;0.76407516;0.33841926;0.4292944;1.0;
0.66489226;0.33779773;0.50338626;0.46977633;0.7917936;0.5764213;0.46596798;0.72323346;0.6023703;0.29150784;0.399218;1.0;
0.67365116;0.35337013;0.45095617;0.4019036;0.68100005;0.49211866;0.41893598;0.6290571;0.46920258;0.22706011;0.38245776;1.0;
0.8446203;0.41802275;0.45477906;0.39357063;0.6330388;0.4771443;0.38382554;0.57207096;0.47647056;0.25326145;0.40763858;1.0;
0.87129945;0.42305645;0.49588057;0.4220802;0.69158393;0.48949146;0.34514892;0.5811699;0.5925422;0.3101189;0.41810462;1.0;
0.7177292;0.34994513;0.4438227;0.37849316;0.65528584;0.47538406;0.31540617;0.5220024;0.51878315;0.29661247;0.39665133;1.0;
0.66265714;0.3585002;0.47153905;0.44371417;0.6937676;0.4835271;0.4618764;0.6529174;0.51874334;0.30780396;0.40202656;1.0;
0.68444985;0.41673172;0.54330367;0.439048;0.6580615;0.48310536;0.45472318;0.8197932;0.6166005;0.3205404;0.42905605;1.0;
0.83488435;0.49665686;0.6968305;0.40278384;0.61102074;0.5879793;0.43132803;0.9765333;0.6900268;0.40852672;0.5437118;1.0;
0.8752576;0.60654354;0.822139;0.5302524;0.7546802;0.74833274;0.6195842;1.0;0.78505427;0.61278033;0.6263649;0.912157;
0.7996725;0.61433846;0.7446918;0.5648316;0.68734646;0.7032422;0.7065825;0.9089422;0.86517113;0.8524096;0.7831202;1.0;
0.8359712;0.6447948;0.72813886;0.496392;0.6220491;0.62747186;0.77253366;1.0;0.98293316;0.8659476;0.63051265;0.7002563;
0.9368631;0.6980409;0.8074761;0.52069455;0.64578813;0.62519825;0.862377;0.9490028;0.87873167;1.0;0.7510783;0.9022469;
0.87217915;0.6956218;0.8207122;0.46370837;0.67642313;0.58297366;0.7704729;0.9435809;0.9364156;0.9657525;0.6682024;1.0;
0.73724407;0.7331482;0.9391724;0.60178775;0.85914993;0.5355233;0.682814;1.0;0.8853766;0.97389686;0.778391;0.98973274;
