C;C^;D;D^;E;F;F^;G;G^;A;A^;B;baseNote;variation1;variation2;
0.91787255;0.9983109;0.68585044;0.5818632;0.5251169;0.93947935;0.6828482;0.5205579;0.7685501;1.0;0.94666547;0.74320906;[A#];[MIN];[];
0.8578965;1.0;0.7019572;0.47391406;0.39634475;0.6892167;0.5702655;0.46199962;0.60399604;0.7630138;0.8715736;0.6656532;[A#];[MIN];[];
0.7140912;1.0;0.6445597;0.28492254;0.33620548;0.7351259;0.4237495;0.33661732;0.53539294;0.5058674;0.5906295;0.49236262;[A#];[MIN];[];
0.692921;1.0;0.61841726;0.2427697;0.29712686;0.7817924;0.37690243;0.25033632;0.4909617;0.4471989;0.48417717;0.40918297;[A#];[MIN];[];
0.6640024;1.0;0.5546726;0.21452385;0.28037274;0.7663978;0.32633784;0.19280276;0.4688041;0.43238404;0.4798188;0.3630152;[A#];[MIN];[];
0.64158785;1.0;0.5544995;0.20203823;0.29269162;0.8364839;0.330134;0.1594909;0.4613179;0.43945178;0.49003407;0.37370896;[A#];[MIN];[];
0.6155731;1.0;0.5360407;0.1830066;0.28945103;0.8577781;0.3246889;0.14736877;0.44756445;0.4185827;0.46469936;0.33935454;[A#];[MIN];[];
0.61973256;1.0;0.5302207;0.17555916;0.29665378;0.8735566;0.33294034;0.14856479;0.42607266;0.40427858;0.45852482;0.32798672;[A#];[MIN];[];
0.6317741;1.0;0.5289949;0.17121573;0.3067051;0.9179839;0.34050143;0.14975122;0.42380142;0.41128153;0.4793886;0.33298883;[A#];[MIN];[];
0.64816666;1.0;0.5309531;0.17148921;0.31290293;0.9643217;0.3465117;0.13591437;0.43519834;0.42858657;0.47907794;0.31981498;[A#];[MIN];[];
0.6108736;1.0;0.5288696;0.16756715;0.3238055;0.98943955;0.34407595;0.122612804;0.40794072;0.40799603;0.4637392;0.29182097;[A#];[MIN];[];
0.5909262;1.0;0.5226732;0.1615928;0.31170875;0.984076;0.33690202;0.113729686;0.37350956;0.37465695;0.45575932;0.28046283;[A#];[MIN];[];
